"name","cbs_team","cbs_recpts","cbs_yd","cbs_avg","cbs_td","cbs_fl","cbs_fpts","espn_team","espn_recpts","espn_yd","espn_td","espn_fpts","fftoday_team","fft_recpts","fft_yd","fft_td","fft_fpts","ffs_team","ffs_recpts","ffs_yd","ffs_td","ffs_fpts"
"Randall Cobb","GB",5.7,83.2,14.6,0.7,0.1,18.02," GB ",6.1,82.7,0.6,17.5,NA,NA,NA,NA,NA,"GBP",6.02,81,0.73,20.02
"Rashad Ross","WAS",0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WAS",0.24,0,0,0.24
"Ricardo Lockette","SEA",0,0.7,17.8,0,0,0.109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SEA",0.43,7,0,1.43
"Riley Cooper","PHI",1.6,21.6,13.5,0.1,0.1,4.16," PHI",1.2,15.8,0.1,2.7,NA,NA,NA,NA,NA,"PHI",3.02,32,0.21,6.02
"Rishard Matthews","MIA",2.6,33,12.8,0.5,0,8.87," MIA",3.9,48.2,0.3,9.4,NA,NA,NA,NA,NA,"MIA",2.21,31,0.24,5.21
"Robert Woods","BUF",2.7,34.7,12.9,0.2,0.1,7.16," BUF",2,26.2,0.1,4.8,NA,NA,NA,NA,NA,"BUF",3.85,47,0.36,8.85
"Rod Streater","OAK",2,23.7,12.1,0.1,0,4.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OAK",0,0,0,0
"Roddy White","ATL",5.5,65.7,11.9,0.3,0.2,13.47," ATL",4.2,52.6,0.3,10.9,NA,NA,NA,NA,NA,"ATL",5.1,55,0.37,11.1
"Rueben Randle","NYG",4,59.9,14.8,0.4,0,12.44," NYG",3.6,50.9,0.3,10.3,NA,NA,NA,NA,NA,"NYG",4.28,59,0.16,10.28
"Russell Shepard","TB",0,0.2,11.5,0,0,0.035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TBB",0.24,3,0.02,0.24
"Ryan Grant","WAS",2.6,34.7,13.6,0.1,0,6.63," WSH",3.2,44.1,0.2,8.6,NA,NA,NA,NA,NA,"WAS",2.07,26,0.04,5.07
"Sammie Coates","PIT",0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PIT",0.76,11,0,1.76
"Sammy Watkins","BUF",1.3,19.2,14.4,0.1,0.1,3.65," BUF",4.3,60,0.3,12.2,NA,NA,NA,NA,NA,"BUF",3.87,57,0.37,9.87
"Seth Roberts","OAK",0,0,0,0,0,0," OAK",2,21.5,0.1,4.5,NA,NA,NA,NA,NA,"OAK",0,0,0,0
"Seyi Ajirotutu","PHI",0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PHI",0.1,1,0,0.1
